id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,position pressure,65,55,30,33,98,watch,baseline,monotonic-signal,raise-signal
m002,g002,move ordering,94,25,41,78,127,watch,edge,drag-penalty,drop-slack
m003,g003,search width,116,29,34,96,221,ship,recovery,confidence-floor,raise-drag
m004,g004,endgame risk,87,63,42,63,132,watch,negative,lane-boundary,lower-confidence
m005,g005,position pressure,41,48,9,70,164,watch,baseline,monotonic-signal,raise-signal
m006,g006,move ordering,96,32,36,29,109,watch,edge,drag-penalty,drop-slack
m007,g007,search width,43,8,16,56,86,hold,recovery,confidence-floor,raise-drag
m008,g008,endgame risk,64,63,18,61,180,ship,negative,lane-boundary,lower-confidence
m009,g009,position pressure,87,23,45,87,104,watch,baseline,monotonic-signal,raise-signal
m010,g010,move ordering,45,29,18,98,145,watch,edge,drag-penalty,drop-slack
m011,g011,search width,76,51,13,22,173,watch,recovery,confidence-floor,raise-drag
m012,g012,endgame risk,95,24,23,62,184,ship,negative,lane-boundary,lower-confidence
m013,g013,position pressure,73,13,6,20,155,watch,baseline,monotonic-signal,raise-signal
m014,g014,move ordering,96,0,26,83,171,watch,edge,drag-penalty,drop-slack
m015,g015,search width,71,11,23,76,137,watch,recovery,confidence-floor,raise-drag
m016,g016,endgame risk,62,14,13,21,107,watch,negative,lane-boundary,lower-confidence
m017,g017,position pressure,70,18,34,103,125,watch,baseline,monotonic-signal,raise-signal
m018,g018,move ordering,108,12,4,56,268,ship,edge,drag-penalty,drop-slack
m019,g019,search width,91,28,18,37,175,watch,recovery,confidence-floor,raise-drag
m020,g020,endgame risk,86,33,16,19,160,watch,negative,lane-boundary,lower-confidence
m021,g021,position pressure,52,38,20,77,139,watch,baseline,monotonic-signal,raise-signal
m022,g022,move ordering,113,32,45,95,173,watch,edge,drag-penalty,drop-slack
m023,g023,search width,64,48,45,75,71,hold,recovery,confidence-floor,raise-drag
m024,g024,endgame risk,87,18,15,56,188,ship,negative,lane-boundary,lower-confidence
m025,g025,position pressure,111,24,26,28,170,watch,baseline,monotonic-signal,raise-signal
m026,g026,move ordering,69,35,12,55,180,ship,edge,drag-penalty,drop-slack
m027,g027,search width,56,24,34,73,73,hold,recovery,confidence-floor,raise-drag
m028,g028,endgame risk,97,51,36,73,174,watch,negative,lane-boundary,lower-confidence
m029,g029,position pressure,86,32,21,97,217,ship,baseline,monotonic-signal,raise-signal
m030,g030,move ordering,114,49,36,21,154,watch,edge,drag-penalty,drop-slack
m031,g031,search width,48,41,52,74,3,hold,recovery,confidence-floor,raise-drag
m032,g032,endgame risk,97,34,30,92,200,ship,negative,lane-boundary,lower-confidence
m033,g033,position pressure,56,68,45,82,82,hold,baseline,monotonic-signal,raise-signal
m034,g034,move ordering,69,42,33,75,123,watch,edge,drag-penalty,drop-slack
m035,g035,search width,40,48,15,33,101,watch,recovery,confidence-floor,raise-drag
m036,g036,endgame risk,73,13,33,89,116,watch,negative,lane-boundary,lower-confidence
m037,g037,position pressure,58,68,11,55,195,ship,baseline,monotonic-signal,raise-signal
m038,g038,move ordering,84,17,43,36,49,hold,edge,drag-penalty,drop-slack
m039,g039,search width,105,45,47,31,98,watch,recovery,confidence-floor,raise-drag
m040,g040,endgame risk,31,56,19,63,105,watch,negative,lane-boundary,lower-confidence
m041,g041,position pressure,95,29,31,94,189,ship,baseline,monotonic-signal,raise-signal
m042,g042,move ordering,117,7,38,74,163,watch,edge,drag-penalty,drop-slack
m043,g043,search width,48,15,50,68,-21,hold,recovery,confidence-floor,raise-drag
m044,g044,endgame risk,105,16,5,14,220,ship,negative,lane-boundary,lower-confidence
m045,g045,position pressure,58,19,30,54,69,hold,baseline,monotonic-signal,raise-signal
m046,g046,move ordering,112,12,23,72,216,ship,edge,drag-penalty,drop-slack
m047,g047,search width,103,28,49,85,123,watch,recovery,confidence-floor,raise-drag
m048,g048,endgame risk,102,33,11,83,276,ship,negative,lane-boundary,lower-confidence
m049,g049,position pressure,70,38,39,20,42,hold,baseline,monotonic-signal,raise-signal
m050,g050,move ordering,44,32,12,73,145,watch,edge,drag-penalty,drop-slack
m051,g051,search width,39,48,28,104,118,watch,recovery,confidence-floor,raise-drag
m052,g052,endgame risk,84,53,6,68,265,ship,negative,lane-boundary,lower-confidence
m053,g053,position pressure,75,23,21,74,163,watch,baseline,monotonic-signal,raise-signal
